Pumari Chhish,https://en.wikipedia.org/wiki/Pumari_Chhish,-36.211111111111,-75.252777777778
Malubiting,https://en.wikipedia.org/wiki/Malubiting,-36.038888888889,-74.900833333333
Jengish Chokusu,https://en.wikipedia.org/wiki/Jengish_Chokusu,-42.037500000000,-80.125000000000
Tian Shan,https://en.wikipedia.org/wiki/Tian_Shan,-42.035000000000,-80.125555555556
Sia Kangri,https://en.wikipedia.org/wiki/Sia_Kangri,-35.663611111111,-76.761666666667
Istor-o-Nal,https://en.wikipedia.org/wiki/Istor-o-Nal,-36.386944444444,-71.889166666667
Kabru,https://en.wikipedia.org/wiki/Kabru,-27.635000000000,-88.118333333333
Ultar,https://en.wikipedia.org/wiki/Ultar,-36.399722222222,-74.691944444444
Rimo I,https://en.wikipedia.org/wiki/Rimo_I,-35.355833333333,-77.368055555556
Labuche Kang,https://en.wikipedia.org/wiki/Labuche_Kang,-28.304166666667,-86.350833333333
Jomolhari,https://en.wikipedia.org/wiki/Mount_Jomolhari,-27.824166666667,-89.270000000000
The Crown,https://en.wikipedia.org/wiki/The_Crown_(mountain),-36.108333333333,-76.212500000000
Gyala Peri,https://en.wikipedia.org/wiki/Gyala_Peri,-29.814166666667,-94.968333333333
Baintha Brakk,https://en.wikipedia.org/wiki/Baintha_Brakk,-35.947777777778,-75.753611111111
K6,https://en.wikipedia.org/wiki/K6_(mountain),-35.420000000000,-76.550000000000
Mana Peak,https://en.wikipedia.org/wiki/Kamet,-30.920000000000,-79.591666666667
Tongshanjiabu,https://en.wikipedia.org/wiki/Tongshanjiabu,-28.186666666667,-89.957500000000
Kangphu Kang,https://en.wikipedia.org/wiki/Kangphu_Kang,-28.155000000000,-90.062500000000
Annapurna South,https://en.wikipedia.org/wiki/Annapurna,-28.596111111111,-83.820277777778
Melungtse,https://en.wikipedia.org/wiki/Melungtse,-27.972500000000,-86.431666666667
"Calais, Maine","https://en.wikipedia.org/wiki/Calais,_Maine",-45.166111111111,67.242500000000
Makalu,https://en.wikipedia.org/wiki/Makalu,-27.889166666667,-87.088611111111
Dhaulagiri,https://en.wikipedia.org/wiki/Dhaulagiri,-28.698333333333,-83.487500000000
Manaslu,https://en.wikipedia.org/wiki/Manaslu,-28.549444444444,-84.561944444444
Gasherbrum I,https://en.wikipedia.org/wiki/Gasherbrum_I,-35.724444444444,-76.696388888889
Gasherbrum II,https://en.wikipedia.org/wiki/Gasherbrum_II,-35.758333333333,-76.653333333333
Shishapangma,https://en.wikipedia.org/wiki/Shishapangma,-28.352222222222,-85.779722222222
Annapurna II,https://en.wikipedia.org/wiki/Annapurna,-28.596111111111,-83.820277777778
Gasherbrum IV,https://en.wikipedia.org/wiki/Gasherbrum_IV,-35.758333333333,-76.616666666667
Himalchuli,https://en.wikipedia.org/wiki/Himalchuli,-28.434166666667,-84.637500000000
Distaghil Sar,https://en.wikipedia.org/wiki/Distaghil_Sar,-36.325833333333,-75.188333333333
Khunyang Chhish,https://en.wikipedia.org/wiki/Khunyang_Chhish,-36.205277777778,-75.207777777778
Masherbrum,https://en.wikipedia.org/wiki/Masherbrum,-35.640000000000,-76.305833333333
Batura Sar,https://en.wikipedia.org/wiki/Batura_Sar,-36.510000000000,-74.522500000000
Kanjut Sar,https://en.wikipedia.org/wiki/Kanjut_Sar,-36.205000000000,-75.418333333333
Rakaposhi,https://en.wikipedia.org/wiki/Rakaposhi,-36.142500000000,-74.489166666667
Batura III,https://en.wikipedia.org/wiki/Batura_III,-36.530833333333,-74.501388888889
Kongur Tagh,https://en.wikipedia.org/wiki/Kongur_Tagh,-38.594166666667,-75.313333333333
Jannu,https://en.wikipedia.org/wiki/Jannu,-27.682777777778,-88.045833333333
Shishapangma,https://en.wikipedia.org/wiki/Shishapangma,-28.352222222222,-85.779722222222
Tirich Mir,https://en.wikipedia.org/wiki/Tirich_Mir,-36.254166666667,-71.843333333333
Chogolisa,https://en.wikipedia.org/wiki/Chogolisa,-35.614166666667,-76.579166666667
Changtse,https://en.wikipedia.org/wiki/Changtse,-28.025277777778,-86.914166666667
Gongga Shan,https://en.wikipedia.org/wiki/Gongga_Shan,-29.595833333333,-101.879166666667
Daxue Shan,https://en.wikipedia.org/wiki/Daxue_Mountains,-29.596666666667,-101.878611111111
Annapurna III,https://en.wikipedia.org/wiki/Annapurna,-28.596111111111,-83.820277777778
Muztagh Ata,https://en.wikipedia.org/wiki/Muztagh_Ata,-38.278333333333,-75.115833333333
Kongur Tagh,https://en.wikipedia.org/wiki/Kongur_Tagh,-38.594166666667,-75.313333333333
Karakoram,https://en.wikipedia.org/wiki/Karakoram,-35.882500000000,-76.513333333333
Liankang Kangri,https://en.wikipedia.org/wiki/Liankang_Kangri,-28.063888888889,-90.443055555556
Himalayas,https://en.wikipedia.org/wiki/Himalayas,-27.988055555556,-86.925277777778
Mamostong Kangri,https://en.wikipedia.org/wiki/Mamostong_Kangri,-35.140833333333,-77.577500000000
Pamir Mountains,https://en.wikipedia.org/wiki/Pamir_Mountains,-38.594166666667,-75.313333333333
Noshaq,https://en.wikipedia.org/wiki/Noshaq,-36.431666666667,-71.828333333333
K2,https://en.wikipedia.org/wiki/K2,-35.882500000000,-76.513333333333
Udren Zom,https://en.wikipedia.org/wiki/Udren_Zom,-36.517222222222,-71.920833333333
Chaukhamba,https://en.wikipedia.org/wiki/Chaukhamba,-30.749722222222,-79.291111111111
Gauri Sankar,https://en.wikipedia.org/wiki/Gauri_Sankar,-27.953333333333,-86.335833333333
Lenin Peak,https://en.wikipedia.org/wiki/Lenin_Peak,-39.342500000000,-72.877500000000
Pamir Mountains,https://en.wikipedia.org/wiki/Pamir_Mountains,-38.594166666667,-75.313333333333
Api,https://en.wikipedia.org/wiki/Api_(mountain),-30.004166666667,-80.933333333333
Trisul,https://en.wikipedia.org/wiki/Trisul,-30.312777777778,-79.777222222222
Lunpo Gangri,https://en.wikipedia.org/wiki/Lunpo_Gangri,-29.833333333333,-84.613333333333
Satopanth,https://en.wikipedia.org/wiki/Satopanth,-30.841111111111,-79.213611111111
Kangto,https://en.wikipedia.org/wiki/Kangto,-27.865000000000,-92.532500000000
Kezhen Peak,https://en.wikipedia.org/wiki/Kezhen_Peak,-35.925000000000,-76.175000000000
Shah Dhar,https://en.wikipedia.org/wiki/Shah_Dhar,-36.671666666667,-72.231666666667
Spantik,https://en.wikipedia.org/wiki/Spantik,-36.057319444444,-74.957983333333
Tian Shan,https://en.wikipedia.org/wiki/Tian_Shan,-42.035000000000,-80.125555555556
Machapuchare,https://en.wikipedia.org/wiki/Machapuchare,-28.495000000000,-83.949166666667
Kang Guru,https://en.wikipedia.org/wiki/Kang_Guru,-28.657500000000,-84.301388888889
Karun Kuh,https://en.wikipedia.org/wiki/Karun_Kuh,-36.610000000000,-75.080833333333
Karakoram,https://en.wikipedia.org/wiki/Karakoram,-35.882500000000,-76.513333333333
Pamir Mountains,https://en.wikipedia.org/wiki/Pamir_Mountains,-38.594166666667,-75.313333333333
Ulugh Muztagh,https://en.wikipedia.org/wiki/Ulugh_Muztagh,-36.412500000000,-87.385000000000
